time,px,py,pz,qw,qx,qy,qz,vx,vy,vz,wx,wy,wz,ax,ay,az,mx,my,mz
9.469,0,0,0,0.584201878505465,0.81160838164147,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.47,0,0,0,0.584120714746427,0.811666797771181,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.471,0,0,0,0.584039545146181,0.811725205784225,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.472,0,0,0,0.583958369705541,0.811783605680016,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.473,0,0,0,0.583877188425316,0.811841997457971,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.474,0,0,0,0.58379600130632,0.811900381117506,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.475,0,0,0,0.583714808349364,0.811958756658037,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.476,0,0,0,0.583633609555259,0.812017124078982,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.477,0,0,0,0.583552404924819,0.812075483379754,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.478,0,0,0,0.583471194458854,0.812133834559772,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.479,0,0,0,0.583389978158177,0.812192177618451,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.48,0,0,0,0.583308756023601,0.812250512555209,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.481,0,0,0,0.583227528055937,0.812308839369461,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.482,0,0,0,0.583146294255998,0.812367158060626,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.483,0,0,0,0.583065054624596,0.812425468628118,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.484,0,0,0,0.582983809162543,0.812483771071356,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.485,0,0,0,0.582902557870653,0.812542065389756,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.486,0,0,0,0.582821300749736,0.812600351582736,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.487,0,0,0,0.582740037800607,0.812658629649712,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.488,0,0,0,0.582658769024077,0.812716899590101,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.489,0,0,0,0.58257749442096,0.812775161403322,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.49,0,0,0,0.582496213992068,0.812833415088792,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.491,0,0,0,0.582414927738213,0.812891660645926,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.492,0,0,0,0.58233363566021,0.812949898074145,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.493,0,0,0,0.58225233775887,0.813008127372864,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.494,0,0,0,0.582171034035006,0.813066348541502,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.495,0,0,0,0.582089724489432,0.813124561579477,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.496,0,0,0,0.582008409122961,0.813182766486206,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.497,0,0,0,0.581927087936406,0.813240963261108,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.498,0,0,0,0.58184576093058,0.813299151903599,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.499,0,0,0,0.581764428106297,0.8133573324131,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.5,0,0,0,0.581683089464369,0.813415504789026,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.501,0,0,0,0.58160174500561,0.813473669030798,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.502,0,0,0,0.581520394730834,0.813531825137834,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.503,0,0,0,0.581439038640854,0.813589973109551,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.504,0,0,0,0.581357676736483,0.813648112945368,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.505,0,0,0,0.581276309018536,0.813706244644704,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.506,0,0,0,0.581194935487826,0.813764368206978,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.507,0,0,0,0.581113556145166,0.813822483631608,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.508,0,0,0,0.581032170991371,0.813880590918013,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.509,0,0,0,0.580950780027254,0.813938690065612,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.51,0,0,0,0.580869383253629,0.813996781073825,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.511,0,0,0,0.580787980671311,0.81405486394207,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.512,0,0,0,0.580706572281112,0.814112938669765,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.513,0,0,0,0.580625158083848,0.814171005256332,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.514,0,0,0,0.580543738080332,0.814229063701189,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.515,0,0,0,0.580462312271379,0.814287114003755,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.516,0,0,0,0.580380880657803,0.814345156163449,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.517,0,0,0,0.580299443240418,0.814403190179693,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.518,0,0,0,0.580218000020039,0.814461216051904,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.519,0,0,0,0.580136550997479,0.814519233779503,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.52,0,0,0,0.580055096173555,0.81457724336191,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.521,0,0,0,0.579973635549079,0.814635244798545,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.522,0,0,0,0.579892169124867,0.814693238088826,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.523,0,0,0,0.579810696901733,0.814751223232176,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.524,0,0,0,0.579729218880492,0.814809200228013,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.525,0,0,0,0.579647735061959,0.814867169075759,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.526,0,0,0,0.579566245446949,0.814925129774833,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.527,0,0,0,0.579484750036276,0.814983082324655,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.528,0,0,0,0.579403248830755,0.815041026724647,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.529,0,0,0,0.579321741831203,0.815098962974228,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.53,0,0,0,0.579240229038432,0.81515689107282,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.531,0,0,0,0.57915871045326,0.815214811019842,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.532,0,0,0,0.5790771860765,0.815272722814717,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.533,0,0,0,0.578995655908969,0.815330626456865,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.534,0,0,0,0.578914119951481,0.815388521945706,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.535,0,0,0,0.578832578204851,0.815446409280662,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.536,0,0,0,0.578751030669897,0.815504288461154,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.537,0,0,0,0.578669477347431,0.815562159486603,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.538,0,0,0,0.578587918238271,0.81562002235643,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.539,0,0,0,0.578506353343232,0.815677877070057,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.54,0,0,0,0.578424782663129,0.815735723626906,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.541,0,0,0,0.578343206198779,0.815793562026397,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.542,0,0,0,0.578261623950996,0.815851392267953,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.543,0,0,0,0.578180035920597,0.815909214350995,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.544,0,0,0,0.578098442108398,0.815967028274944,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.545,0,0,0,0.578016842515214,0.816024834039223,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.546,0,0,0,0.577935237141862,0.816082631643254,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.547,0,0,0,0.577853625989158,0.816140421086459,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.548,0,0,0,0.577772009057917,0.81619820236826,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.549,0,0,0,0.577690386348956,0.816255975488078,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.55,0,0,0,0.577608757863092,0.816313740445337,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
